,sentence_id,token_id,class,before,after
32144,2560,8,VERBATIM,о,о
32145,2560,9,VERBATIM,р,р
32146,2560,10,VERBATIM,и,и
32147,2560,11,VERBATIM,и,и
32148,2560,12,VERBATIM,и,и
32149,2560,13,VERBATIM,г,г
32150,2560,14,VERBATIM,р,р
32151,2560,15,VERBATIM,а,а
32152,2560,16,VERBATIM,н,н
32153,2560,17,VERBATIM,и,и
32154,2560,18,VERBATIM,ц,ц
32155,2560,19,VERBATIM,а,а
32156,2560,20,VERBATIM,х,х
32157,2560,21,VERBATIM,м,м
32158,2560,22,VERBATIM,у,у
32159,2560,23,VERBATIM,н,н
32160,2560,24,VERBATIM,и,и
32161,2560,25,VERBATIM,ц,ц
32162,2560,26,VERBATIM,и,и
32163,2560,27,VERBATIM,п,п
32164,2560,28,VERBATIM,а,а
32165,2560,29,VERBATIM,л,л
32166,2560,30,VERBATIM,ь,ь
32167,2560,31,VERBATIM,н,н
32168,2560,32,VERBATIM,о,о
32169,2560,33,VERBATIM,г,г
32170,2560,34,VERBATIM,о,о
32171,2560,35,VERBATIM,о,о
32172,2560,36,VERBATIM,б,б
32173,2560,37,VERBATIM,р,р
32174,2560,38,VERBATIM,а,а
32175,2560,39,VERBATIM,з,з
32176,2560,40,VERBATIM,о,о
32177,2560,41,VERBATIM,в,в
32178,2560,42,VERBATIM,а,а
32179,2560,43,VERBATIM,н,н
32180,2560,44,VERBATIM,и,и
32181,2560,45,VERBATIM,я,я
32182,2560,46,VERBATIM,г,г
32183,2560,47,VERBATIM,о,о
32184,2560,48,VERBATIM,р,р
32185,2560,49,VERBATIM,о,о
32186,2560,50,VERBATIM,д,д
32187,2560,51,VERBATIM,с,с
32188,2560,52,VERBATIM,к,к
32189,2560,53,VERBATIM,о,о
32190,2560,54,VERBATIM,й,й
32191,2560,55,VERBATIM,о,о
32192,2560,56,VERBATIM,к,к
32193,2560,57,VERBATIM,р,р
32194,2560,58,VERBATIM,у,у
32195,2560,59,VERBATIM,г,г
32197,2560,61,VERBATIM,п,п
32198,2560,62,VERBATIM,о,о
32199,2560,63,VERBATIM,с,с
32200,2560,64,VERBATIM,е,е
32201,2560,65,VERBATIM,л,л
32202,2560,66,VERBATIM,о,о
32203,2560,67,VERBATIM,к,к
32204,2560,68,VERBATIM,П,П
32205,2560,69,VERBATIM,а,а
32206,2560,70,VERBATIM,л,л
32207,2560,71,VERBATIM,а,а
32208,2560,72,VERBATIM,н,н
32209,2560,73,VERBATIM,а,а
32213,2560,77,VERBATIM,в,в
32214,2560,78,VERBATIM,р,р
32215,2560,79,VERBATIM,е,е
32216,2560,80,VERBATIM,д,д
32300,2566,8,VERBATIM,&,and
33084,2631,8,VERBATIM,_,underscore
33409,2653,13,VERBATIM,-,-
33515,2660,8,VERBATIM,pp,p p
33809,2681,25,VERBATIM,&,and
34403,2736,10,VERBATIM,&,and
34656,2757,5,VERBATIM,年,年
34657,2757,6,VERBATIM,南,南
34658,2757,7,VERBATIM,京,京
34659,2757,8,VERBATIM,地,地
34660,2757,9,VERBATIM,铁,铁
34661,2757,10,VERBATIM,客,客
34662,2757,11,VERBATIM,流,流
34663,2757,12,VERBATIM,量,量
34665,2757,14,VERBATIM,万,万
34666,2757,15,VERBATIM,人,人
34667,2757,16,VERBATIM,次,次
35037,2785,14,VERBATIM,rdJ,r d j
35059,2787,12,VERBATIM,thC,t h c
35077,2789,5,VERBATIM,해,해
35078,2789,6,VERBATIM,적,적
35080,2789,8,VERBATIM,바,바
35081,2789,9,VERBATIM,다,다
35082,2789,10,VERBATIM,로,로
35083,2789,11,VERBATIM,간,간
35084,2789,12,VERBATIM,산,산
35085,2789,13,VERBATIM,적,적
35593,2829,1,VERBATIM,#,hash
35595,2829,3,VERBATIM,-,-
35597,2829,5,VERBATIM,#,number
35599,2829,7,VERBATIM,-,-
35601,2829,9,VERBATIM,#,hash
35603,2829,11,VERBATIM,-,-
35903,2849,12,VERBATIM,&,and
35915,2850,1,VERBATIM,&,and
36088,2865,1,VERBATIM,&,and
36206,2877,6,VERBATIM,π,pi
36498,2902,2,VERBATIM,cMLCK,c m l c k
37294,2969,11,VERBATIM,csv,c s v
37417,2977,14,VERBATIM,-,-
37428,2979,1,VERBATIM,&,and
37704,3000,25,VERBATIM,&,and
38020,3021,8,VERBATIM,&,and
39307,3131,4,VERBATIM,箟,箟
39308,3131,5,VERBATIM,岳,岳
39309,3131,6,VERBATIM,中,中
39310,3131,7,VERBATIM,学,学
39311,3131,8,VERBATIM,校,校
39508,3149,6,VERBATIM,蘇,蘇
39509,3149,7,VERBATIM,澳,澳
39510,3149,8,VERBATIM,冷,冷
39511,3149,9,VERBATIM,泉,泉
39764,3167,15,VERBATIM,-,-
39782,3169,2,VERBATIM,-,-
40167,3195,23,VERBATIM,&,and
40774,3240,4,VERBATIM,Th,t h
41553,3309,14,VERBATIM,&,and
41642,3317,1,VERBATIM,&,and
41741,3326,3,VERBATIM,pp,p p
41846,3334,18,VERBATIM,-,-
41910,3341,11,VERBATIM,π,pi
41914,3341,15,VERBATIM,~,tilde
42204,3366,4,VERBATIM,&,and
42225,3368,13,VERBATIM,-,-
42406,3384,2,VERBATIM,流,流
42407,3384,3,VERBATIM,浪,浪
42408,3384,4,VERBATIM,的,的
42409,3384,5,VERBATIM,燕,燕
42410,3384,6,VERBATIM,子,子
42412,3384,8,VERBATIM,回,回
42413,3384,9,VERBATIM,家,家
42414,3384,10,VERBATIM,了,了
42642,3403,22,VERBATIM,&,and
43193,3444,1,VERBATIM,#,number
43344,3459,1,VERBATIM,&,and
43347,3459,4,VERBATIM,-,-
43348,3459,5,VERBATIM,&,and
43963,3512,13,VERBATIM,&,and
44917,3590,8,VERBATIM,-,-
45189,3612,9,VERBATIM,&,and
46315,3706,1,VERBATIM,&,and
46732,3737,4,VERBATIM,&,and
46736,3737,8,VERBATIM,pp,p p
46932,3754,10,VERBATIM,pp,p p
47108,3772,10,VERBATIM,&,and
47731,3822,6,VERBATIM,Π,pi
47732,3822,7,VERBATIM,ε,epsilon
47733,3822,8,VERBATIM,ρ,rho
47734,3822,9,VERBATIM,ι,iota
47735,3822,10,VERBATIM,φ,phi
47736,3822,11,VERBATIM,ε,epsilon
47737,3822,12,VERBATIM,ρ,rho
47738,3822,13,VERBATIM,ε,epsilon
47739,3822,14,VERBATIM,ι,iota
47740,3822,15,VERBATIM,α,alpha
47741,3822,16,VERBATIM,Δ,delta
47742,3822,17,VERBATIM,υ,upsilon
47743,3822,18,VERBATIM,τ,tau
47744,3822,19,VERBATIM,ι,iota
47745,3822,20,VERBATIM,κ,kappa
47746,3822,21,VERBATIM,η,eta
47747,3822,22,VERBATIM,ς,sigma
47748,3822,23,VERBATIM,Ε,epsilon
47749,3822,24,VERBATIM,λ,lambda
47750,3822,25,VERBATIM,λ,lambda
47751,3822,26,VERBATIM,α,alpha
47752,3822,27,VERBATIM,δ,delta
47753,3822,28,VERBATIM,α,alpha
47754,3822,29,VERBATIM,ς,sigma
48464,3885,5,VERBATIM,&,and
49204,3952,10,VERBATIM,楊,楊
49205,3952,11,VERBATIM,公,公
49206,3952,12,VERBATIM,卿,卿
49389,3970,1,VERBATIM,役,役
49390,3970,2,VERBATIM,員,員
49391,3970,3,VERBATIM,人,人
49392,3970,4,VERBATIM,事,事
49393,3970,5,VERBATIM,に,に
49394,3970,6,VERBATIM,関,関
49395,3970,7,VERBATIM,す,す
49396,3970,8,VERBATIM,る,る
49397,3970,9,VERBATIM,お,お
49398,3970,10,VERBATIM,知,知
49399,3970,11,VERBATIM,ら,ら
49400,3970,12,VERBATIM,せ,せ
49401,3970,13,VERBATIM,-,-
49403,3970,15,VERBATIM,-,-
49404,3970,16,VERBATIM,日,日
49405,3970,17,VERBATIM,本,本
49406,3970,18,VERBATIM,ユ,ユ
49407,3970,19,VERBATIM,ニ,ニ
49408,3970,20,VERBATIM,シ,シ
49409,3970,21,VERBATIM,ス,ス
49546,3982,2,VERBATIM,Th,t h
49547,3982,3,VERBATIM,ứ,ứ
49922,4011,9,VERBATIM,-,-
50071,4022,6,VERBATIM,pp,p p
50244,4036,1,VERBATIM,#,number
50365,4045,5,VERBATIM,pp,p p
50693,4070,1,VERBATIM,サ,サ
50694,4070,2,VERBATIM,ー,ー
50695,4070,3,VERBATIM,キ,キ
50696,4070,4,VERBATIM,ッ,ッ
50697,4070,5,VERBATIM,ト,ト
50698,4070,6,VERBATIM,の,の
50699,4070,7,VERBATIM,狼,狼
50705,4070,13,VERBATIM,コ,コ
50706,4070,14,VERBATIM,ミ,ミ
50707,4070,15,VERBATIM,ッ,ッ
50708,4070,16,VERBATIM,ク,ク
50709,4070,17,VERBATIM,ス,ス
50712,4070,20,VERBATIM,コ,コ
50713,4070,21,VERBATIM,ミ,ミ
50714,4070,22,VERBATIM,ッ,ッ
50715,4070,23,VERBATIM,ク,ク
50767,4074,5,VERBATIM,-,-
51245,4111,2,VERBATIM,-,-
51909,4170,3,VERBATIM,pp,p p
52063,4187,10,VERBATIM,&,and
52364,4214,2,VERBATIM,-,-
52888,4253,1,VERBATIM,&,and
53031,4265,2,VERBATIM,-,-
53421,4289,15,VERBATIM,-,-
53445,4292,4,VERBATIM,&,and
54281,4359,3,VERBATIM,pp,p p
54765,4399,20,VERBATIM,-,-
54987,4420,1,VERBATIM,-,-
55308,4446,30,VERBATIM,pp,p p
55919,4503,2,VERBATIM,-,-
55922,4503,5,VERBATIM,-,-
56053,4511,4,VERBATIM,-,-
56099,4515,5,VERBATIM,-,-
56172,4519,13,VERBATIM,ml,m l
56315,4530,4,VERBATIM,~,tilde
56575,4551,5,VERBATIM,蘇,蘇
56576,4551,6,VERBATIM,轍,轍
56584,4551,14,VERBATIM,蘇,蘇
56585,4551,15,VERBATIM,洵,洵
57548,4632,1,VERBATIM,#,number
57627,4638,11,VERBATIM,Pt,p t
57694,4644,1,VERBATIM,&,and
58004,4671,3,VERBATIM,-,-
58281,4696,1,VERBATIM,-,-
58561,4715,9,VERBATIM,-,-
58811,4739,1,VERBATIM,&,and
59475,4791,9,VERBATIM,ầ,ầ
59597,4800,3,VERBATIM,体,体
59598,4800,4,VERBATIM,温,温
59981,4829,3,VERBATIM,pp,p p
60206,4849,2,VERBATIM,-,-
60483,4874,15,VERBATIM,&,and
60597,4883,17,VERBATIM,-,-
61011,4916,5,VERBATIM,-,-
61041,4918,11,VERBATIM,-,-
61048,4918,18,VERBATIM,-,-
61278,4940,6,VERBATIM,ج,ج
61279,4940,7,VERBATIM,ا,ا
61280,4940,8,VERBATIM,س,س
61281,4940,9,VERBATIM,م,م
61282,4940,10,VERBATIM,ا,ا
61283,4940,11,VERBATIM,ل,ل
61284,4940,12,VERBATIM,ع,ع
61285,4940,13,VERBATIM,ز,ز
61286,4940,14,VERBATIM,ا,ا
61287,4940,15,VERBATIM,و,و
61288,4940,16,VERBATIM,ي,ي
62207,5012,8,VERBATIM,&,and
62950,5063,19,VERBATIM,α,alpha
62964,5064,12,VERBATIM,#,number
62972,5064,20,VERBATIM,#,number
63257,5088,1,VERBATIM,-,-
63266,5089,4,VERBATIM,-,-
63279,5091,1,VERBATIM,&,and
63398,5103,3,VERBATIM,&,and
63547,5115,18,VERBATIM,cf,c f
63675,5127,6,VERBATIM,&,and
63829,5138,15,VERBATIM,ễ,ễ
63849,5139,8,VERBATIM,&,and
63995,5153,9,VERBATIM,pp,p p
64204,5172,4,VERBATIM,&,and
64384,5185,6,VERBATIM,-,-
64420,5187,14,VERBATIM,-,-
64493,5193,4,VERBATIM,&,and
64700,5210,10,VERBATIM,-,-
64930,5232,2,VERBATIM,-,-
65262,5259,4,VERBATIM,-,-
65707,5296,32,VERBATIM,&,and
65807,5307,8,VERBATIM,-,-
65825,5308,7,VERBATIM,-,-
65852,5309,8,VERBATIM,-,-
66037,5325,12,VERBATIM,&,and
66316,5352,1,VERBATIM,#,number
66706,5384,9,VERBATIM,-,-
66709,5384,12,VERBATIM,-,-
66776,5390,1,VERBATIM,Ph,p h
67377,5436,12,VERBATIM,&,and
67491,5444,8,VERBATIM,-,-
67749,5464,13,VERBATIM,-,-
68031,5485,14,VERBATIM,SSc,s s c
68084,5490,12,VERBATIM,&,and
69101,5573,10,VERBATIM,&,and
69729,5623,1,VERBATIM,&,and
70126,5657,2,VERBATIM,&,and
70259,5667,15,VERBATIM,pH,p h
70614,5690,9,VERBATIM,-,-
71001,5718,10,VERBATIM,-,-
71478,5752,17,VERBATIM,-,-
71524,5756,3,VERBATIM,&,and
71537,5757,4,VERBATIM,&,and
71603,5762,6,VERBATIM,pp,p p
71951,5790,8,VERBATIM,.5.11,dot f i v e dot o n e o n e
72156,5808,2,VERBATIM,&,and
72194,5810,1,VERBATIM,ff,f f
72220,5811,10,VERBATIM,Lt,l t
72254,5814,3,VERBATIM,&,and
72391,5825,9,VERBATIM,LfL,l f l
72931,5865,6,VERBATIM,Ą,Ą
73075,5875,19,VERBATIM,-,-
73080,5875,24,VERBATIM,-,-
73405,5898,6,VERBATIM,-,-
73421,5899,2,VERBATIM,&,and
73573,5910,11,VERBATIM,&,and
73593,5912,2,VERBATIM,pg,p g
73599,5912,8,VERBATIM,pg,p g
73846,5932,7,VERBATIM,pp,p p
74446,5982,1,VERBATIM,О,О
74447,5982,2,VERBATIM,в,в
74448,5982,3,VERBATIM,н,н
74449,5982,4,VERBATIM,е,е
74450,5982,5,VERBATIM,с,с
74451,5982,6,VERBATIM,е,е
74452,5982,7,VERBATIM,н,н
74453,5982,8,VERBATIM,и,и
74454,5982,9,VERBATIM,и,и
74455,5982,10,VERBATIM,и,и
74456,5982,11,VERBATIM,з,з
74457,5982,12,VERBATIM,м,м
74458,5982,13,VERBATIM,е,е
74459,5982,14,VERBATIM,н,н
74460,5982,15,VERBATIM,е,е
74461,5982,16,VERBATIM,н,н
74462,5982,17,VERBATIM,и,и
74463,5982,18,VERBATIM,й,й
74464,5982,19,VERBATIM,в,в
74465,5982,20,VERBATIM,Ф,Ф
74466,5982,21,VERBATIM,е,е
74467,5982,22,VERBATIM,д,д
74468,5982,23,VERBATIM,е,е
74469,5982,24,VERBATIM,р,р
74470,5982,25,VERBATIM,а,а
74471,5982,26,VERBATIM,л,л
74472,5982,27,VERBATIM,ь,ь
74473,5982,28,VERBATIM,н,н
74474,5982,29,VERBATIM,ы,ы
74475,5982,30,VERBATIM,й,й
74476,5982,31,VERBATIM,з,з
74477,5982,32,VERBATIM,а,а
74478,5982,33,VERBATIM,к,к
74479,5982,34,VERBATIM,о,о
74480,5982,35,VERBATIM,н,н
74482,5982,37,VERBATIM,О,О
74483,5982,38,VERBATIM,б,б
74484,5982,39,VERBATIM,и,и
74485,5982,40,VERBATIM,с,с
74486,5982,41,VERBATIM,ч,ч
74487,5982,42,VERBATIM,и,и
74488,5982,43,VERBATIM,с,с
74489,5982,44,VERBATIM,л,л
74490,5982,45,VERBATIM,е,е
74491,5982,46,VERBATIM,н,н
74492,5982,47,VERBATIM,и,и
74493,5982,48,VERBATIM,и,и
74494,5982,49,VERBATIM,в,в
74495,5982,50,VERBATIM,р,р
74496,5982,51,VERBATIM,е,е
74497,5982,52,VERBATIM,м,м
74498,5982,53,VERBATIM,е,е
74499,5982,54,VERBATIM,н,н
74500,5982,55,VERBATIM,и,и
75083,6027,2,VERBATIM,س,س
75084,6027,3,VERBATIM,و,و
75085,6027,4,VERBATIM,ا,ا
75086,6027,5,VERBATIM,ك,ك
75087,6027,6,VERBATIM,ن,ن
75321,6047,1,VERBATIM,&,and
75711,6081,8,VERBATIM,-,-
76559,6151,7,VERBATIM,&,and
76742,6167,4,VERBATIM,&,and
76884,6177,21,VERBATIM,α,alpha
76885,6177,22,VERBATIM,ρ,rho
76886,6177,23,VERBATIM,ε,epsilon
76887,6177,24,VERBATIM,τ,tau
76888,6177,25,VERBATIM,η,eta
77283,6209,0,VERBATIM,Pg,p g
77434,6223,3,VERBATIM,&,and
78336,6289,5,VERBATIM,plc,p l c
78351,6290,4,VERBATIM,#,number
78841,6331,6,VERBATIM,pp,p p
79614,6397,4,VERBATIM,-,-
79818,6411,12,VERBATIM,-,-
79820,6411,14,VERBATIM,-,-
79822,6411,16,VERBATIM,-,-
80289,6450,11,VERBATIM,pdf,p d f
80821,6493,3,VERBATIM,&,and
80877,6497,13,VERBATIM,&,and
81042,6509,3,VERBATIM,&,and
81862,6572,6,VERBATIM,-,-
82717,6637,3,VERBATIM,&,and
82778,6642,7,VERBATIM,&,and
83505,6699,3,VERBATIM,-,-
83790,6725,8,VERBATIM,愛,愛
83791,6725,9,VERBATIM,を,を
83792,6725,10,VERBATIM,す,す
83793,6725,11,VERBATIM,る,る
83794,6725,12,VERBATIM,人,人
85421,6856,3,VERBATIM,-,-
85799,6883,3,VERBATIM,&,and
85929,6892,10,VERBATIM,-,-
86082,6904,8,VERBATIM,Fr,f r
86218,6913,14,VERBATIM,-,-
86407,6928,1,VERBATIM,&,and
86422,6929,6,VERBATIM,&,and
86667,6952,11,VERBATIM,-,-
86877,6968,20,VERBATIM,-,-
86921,6972,7,VERBATIM,&,and
87072,6983,23,VERBATIM,pp,p p
87134,6987,3,VERBATIM,&,and
87459,7010,5,VERBATIM,&,and
87477,7012,6,VERBATIM,&,and
87679,7029,4,VERBATIM,&,and
87921,7053,5,VERBATIM,$,dollar
88570,7097,9,VERBATIM,-,-
88805,7114,1,VERBATIM,В,В
88806,7114,2,VERBATIM,с,с
88807,7114,3,VERBATIM,е,е
88808,7114,4,VERBATIM,р,р
88809,7114,5,VERBATIM,о,о
88810,7114,6,VERBATIM,с,с
88811,7114,7,VERBATIM,с,с
88812,7114,8,VERBATIM,и,и
88813,7114,9,VERBATIM,й,й
88814,7114,10,VERBATIM,с,с
88815,7114,11,VERBATIM,к,к
88816,7114,12,VERBATIM,а,а
88817,7114,13,VERBATIM,я,я
88818,7114,14,VERBATIM,п,п
88819,7114,15,VERBATIM,е,е
88820,7114,16,VERBATIM,р,р
88821,7114,17,VERBATIM,е,е
88822,7114,18,VERBATIM,п,п
88823,7114,19,VERBATIM,и,и
88824,7114,20,VERBATIM,с,с
88825,7114,21,VERBATIM,ь,ь
88826,7114,22,VERBATIM,н,н
88827,7114,23,VERBATIM,а,а
88828,7114,24,VERBATIM,с,с
88829,7114,25,VERBATIM,е,е
88830,7114,26,VERBATIM,л,л
88831,7114,27,VERBATIM,е,е
88832,7114,28,VERBATIM,н,н
88833,7114,29,VERBATIM,и,и
88834,7114,30,VERBATIM,я,я
88836,7114,32,VERBATIM,г,г
88837,7114,33,VERBATIM,о,о
88838,7114,34,VERBATIM,д,д
88839,7114,35,VERBATIM,а,а
88865,7117,13,VERBATIM,&,and
89670,7181,7,VERBATIM,Sts,s t s
89738,7187,8,VERBATIM,&,and
89754,7188,8,VERBATIM,ds,d s
89844,7195,15,VERBATIM,pp,p p
89865,7197,3,VERBATIM,&,and
89876,7197,14,VERBATIM,&,and
89970,7207,4,VERBATIM,pp,p p
90149,7223,1,VERBATIM,&,and
90251,7233,12,VERBATIM,-,-
90321,7236,26,VERBATIM,pg,p g
90442,7247,14,VERBATIM,pp,p p
90447,7248,3,VERBATIM,&,and
90553,7256,7,VERBATIM,&,and
90558,7257,1,VERBATIM,&,and
90574,7258,8,VERBATIM,-,-
90618,7262,7,VERBATIM,-,-
91052,7298,1,VERBATIM,&,and
91094,7301,18,VERBATIM,pp,p p
91106,7302,10,VERBATIM,&,and
91950,7371,2,VERBATIM,&,and
92253,7394,1,VERBATIM,&,and
92511,7415,3,VERBATIM,pp,p p
92828,7439,16,VERBATIM,&,and
